
0it [00:00, ?it/s]
3043it [00:12, 203.00it/s, bound: 0 | nc: 2 | ncall: 13602 | eff(%): 22.372 | loglstar:   -inf < -243.481 <    inf | logz: -249.944 +/-  0.024 | dlogz: 249.739 >  0.100]
3084it [00:12, 205.25it/s, bound: 0 | nc: 1 | ncall: 13651 | eff(%): 22.592 | loglstar:   -inf < -240.925 <    inf | logz: -247.561 +/-  0.024 | dlogz: 247.360 >  0.100]
3119it [00:12, 202.24it/s, bound: 0 | nc: 1 | ncall: 13701 | eff(%): 22.765 | loglstar:   -inf < -238.532 <    inf | logz: -245.243 +/-  0.024 | dlogz: 245.044 >  0.100]
3155it [00:12, 196.69it/s, bound: 0 | nc: 1 | ncall: 13751 | eff(%): 22.944 | loglstar:   -inf < -237.050 <    inf | logz: -243.495 +/-  0.024 | dlogz: 243.277 >  0.100]
3192it [00:13, 195.94it/s, bound: 0 | nc: 3 | ncall: 13802 | eff(%): 23.127 | loglstar:   -inf < -235.674 <    inf | logz: -241.955 +/-  0.023 | dlogz: 241.726 >  0.100]
3231it [00:13, 212.68it/s, bound: 0 | nc: 1 | ncall: 13851 | eff(%): 23.327 | loglstar:   -inf < -233.541 <    inf | logz: -240.140 +/-  0.023 | dlogz: 239.923 >  0.100]
3266it [00:13, 216.29it/s, bound: 0 | nc: 2 | ncall: 13902 | eff(%): 23.493 | loglstar:   -inf < -232.330 <    inf | logz: -238.661 +/-  0.023 | dlogz: 238.427 >  0.100]
3298it [00:13, 217.34it/s, bound: 0 | nc: 8 | ncall: 13952 | eff(%): 23.638 | loglstar:   -inf < -230.253 <    inf | logz: -236.972 +/-  0.024 | dlogz: 236.753 >  0.100]
3336it [00:13, 214.37it/s, bound: 0 | nc: 1 | ncall: 14001 | eff(%): 23.827 | loglstar:   -inf < -228.864 <    inf | logz: -235.062 +/-  0.023 | dlogz: 234.815 >  0.100]
3370it [00:13, 198.81it/s, bound: 0 | nc: 1 | ncall: 14051 | eff(%): 23.984 | loglstar:   -inf < -227.412 <    inf | logz: -233.706 +/-  0.023 | dlogz: 233.457 >  0.100]
3403it [00:14, 200.54it/s, bound: 0 | nc: 1 | ncall: 14101 | eff(%): 24.133 | loglstar:   -inf < -226.016 <    inf | logz: -232.342 +/-  0.023 | dlogz: 232.093 >  0.100]
3438it [00:14, 210.82it/s, bound: 0 | nc: 1 | ncall: 14151 | eff(%): 24.295 | loglstar:   -inf < -224.355 <    inf | logz: -230.790 +/-  0.023 | dlogz: 230.542 >  0.100]
3473it [00:14, 209.20it/s, bound: 0 | nc: 1 | ncall: 14201 | eff(%): 24.456 | loglstar:   -inf < -222.864 <    inf | logz: -229.261 +/-  0.023 | dlogz: 229.008 >  0.100]
3508it [00:14, 201.67it/s, bound: 0 | nc: 1 | ncall: 14251 | eff(%): 24.616 | loglstar:   -inf < -221.263 <    inf | logz: -227.778 +/-  0.023 | dlogz: 227.527 >  0.100]
3547it [00:14, 215.28it/s, bound: 0 | nc: 1 | ncall: 14301 | eff(%): 24.802 | loglstar:   -inf < -220.018 <    inf | logz: -226.267 +/-  0.023 | dlogz: 226.000 >  0.100]
3585it [00:14, 229.60it/s, bound: 0 | nc: 3 | ncall: 14352 | eff(%): 24.979 | loglstar:   -inf < -218.667 <    inf | logz: -224.951 +/-  0.023 | dlogz: 224.680 >  0.100]
3619it [00:15, 215.15it/s, bound: 0 | nc: 1 | ncall: 14401 | eff(%): 25.130 | loglstar:   -inf < -217.169 <    inf | logz: -223.539 +/-  0.023 | dlogz: 223.269 >  0.100]
3648it [00:15, 202.22it/s, bound: 0 | nc: 1 | ncall: 14451 | eff(%): 25.244 | loglstar:   -inf < -215.880 <    inf | logz: -222.297 +/-  0.023 | dlogz: 222.026 >  0.100]
3689it [00:15, 207.16it/s, bound: 0 | nc: 2 | ncall: 14502 | eff(%): 25.438 | loglstar:   -inf < -214.342 <    inf | logz: -220.586 +/-  0.023 | dlogz: 220.303 >  0.100]
3721it [00:15, 200.84it/s, bound: 0 | nc: 5 | ncall: 14553 | eff(%): 25.569 | loglstar:   -inf < -213.138 <    inf | logz: -219.391 +/-  0.023 | dlogz: 219.107 >  0.100]
3759it [00:15, 200.02it/s, bound: 0 | nc: 1 | ncall: 14601 | eff(%): 25.745 | loglstar:   -inf < -211.709 <    inf | logz: -217.913 +/-  0.023 | dlogz: 217.622 >  0.100]
3792it [00:15, 194.39it/s, bound: 0 | nc: 1 | ncall: 14651 | eff(%): 25.882 | loglstar:   -inf < -210.237 <    inf | logz: -216.588 +/-  0.023 | dlogz: 216.300 >  0.100]
3832it [00:16, 200.02it/s, bound: 0 | nc: 1 | ncall: 14701 | eff(%): 26.066 | loglstar:   -inf < -208.954 <    inf | logz: -215.182 +/-  0.023 | dlogz: 214.884 >  0.100]
3869it [00:16, 207.52it/s, bound: 0 | nc: 3 | ncall: 14753 | eff(%): 26.225 | loglstar:   -inf < -207.350 <    inf | logz: -213.781 +/-  0.023 | dlogz: 213.488 >  0.100]
3899it [00:16, 202.76it/s, bound: 0 | nc: 3 | ncall: 14803 | eff(%): 26.339 | loglstar:   -inf < -206.055 <    inf | logz: -212.443 +/-  0.023 | dlogz: 212.144 >  0.100]
3931it [00:16, 189.64it/s, bound: 0 | nc: 1 | ncall: 14851 | eff(%): 26.470 | loglstar:   -inf < -205.300 <    inf | logz: -211.349 +/-  0.023 | dlogz: 211.036 >  0.100]
3960it [00:16, 181.31it/s, bound: 0 | nc: 3 | ncall: 14903 | eff(%): 26.572 | loglstar:   -inf < -204.132 <    inf | logz: -210.374 +/-  0.023 | dlogz: 210.064 >  0.100]
3989it [00:17, 176.89it/s, bound: 0 | nc: 1 | ncall: 14951 | eff(%): 26.680 | loglstar:   -inf < -203.116 <    inf | logz: -209.373 +/-  0.023 | dlogz: 209.061 >  0.100]
4021it [00:17, 173.96it/s, bound: 0 | nc: 4 | ncall: 15001 | eff(%): 26.805 | loglstar:   -inf < -202.358 <    inf | logz: -208.380 +/-  0.023 | dlogz: 208.056 >  0.100]
4056it [00:17, 178.59it/s, bound: 0 | nc: 2 | ncall: 15052 | eff(%): 26.947 | loglstar:   -inf < -201.015 <    inf | logz: -207.244 +/-  0.023 | dlogz: 206.923 >  0.100]
4090it [00:17, 186.53it/s, bound: 0 | nc: 4 | ncall: 15104 | eff(%): 27.079 | loglstar:   -inf < -199.650 <    inf | logz: -205.979 +/-  0.023 | dlogz: 205.658 >  0.100]
4123it [00:17, 192.58it/s, bound: 0 | nc: 1 | ncall: 15151 | eff(%): 27.213 | loglstar:   -inf < -198.600 <    inf | logz: -204.793 +/-  0.023 | dlogz: 204.465 >  0.100]
4164it [00:17, 195.70it/s, bound: 0 | nc: 1 | ncall: 15201 | eff(%): 27.393 | loglstar:   -inf < -197.545 <    inf | logz: -203.593 +/-  0.023 | dlogz: 203.255 >  0.100]
4196it [00:18, 195.60it/s, bound: 0 | nc: 1 | ncall: 15251 | eff(%): 27.513 | loglstar:   -inf < -196.645 <    inf | logz: -202.732 +/-  0.023 | dlogz: 202.392 >  0.100]
4232it [00:18, 202.01it/s, bound: 0 | nc: 2 | ncall: 15302 | eff(%): 27.657 | loglstar:   -inf < -195.378 <    inf | logz: -201.631 +/-  0.023 | dlogz: 201.292 >  0.100]
4266it [00:18, 205.87it/s, bound: 0 | nc: 3 | ncall: 15353 | eff(%): 27.786 | loglstar:   -inf < -194.103 <    inf | logz: -200.431 +/-  0.023 | dlogz: 200.093 >  0.100]
4300it [00:18, 201.93it/s, bound: 0 | nc: 2 | ncall: 15402 | eff(%): 27.918 | loglstar:   -inf < -193.066 <    inf | logz: -199.303 +/-  0.023 | dlogz: 198.957 >  0.100]
4327it [00:18, 194.22it/s, bound: 0 | nc: 2 | ncall: 15451 | eff(%): 28.005 | loglstar:   -inf < -192.368 <    inf | logz: -198.492 +/-  0.023 | dlogz: 198.140 >  0.100]
4361it [00:18, 198.26it/s, bound: 0 | nc: 2 | ncall: 15501 | eff(%): 28.134 | loglstar:   -inf < -191.338 <    inf | logz: -197.449 +/-  0.023 | dlogz: 197.093 >  0.100]
4393it [00:19, 195.37it/s, bound: 0 | nc: 1 | ncall: 15551 | eff(%): 28.249 | loglstar:   -inf < -190.160 <    inf | logz: -196.396 +/-  0.023 | dlogz: 196.040 >  0.100]
4422it [00:19, 186.73it/s, bound: 0 | nc: 1 | ncall: 15601 | eff(%): 28.344 | loglstar:   -inf < -189.534 <    inf | logz: -195.577 +/-  0.023 | dlogz: 195.213 >  0.100]
4453it [00:19, 187.03it/s, bound: 0 | nc: 1 | ncall: 15651 | eff(%): 28.452 | loglstar:   -inf < -188.559 <    inf | logz: -194.683 +/-  0.023 | dlogz: 194.318 >  0.100]
4491it [00:19, 199.04it/s, bound: 0 | nc: 1 | ncall: 15701 | eff(%): 28.603 | loglstar:   -inf < -187.461 <    inf | logz: -193.514 +/-  0.023 | dlogz: 193.143 >  0.100]
4523it [00:19, 200.45it/s, bound: 0 | nc: 1 | ncall: 15751 | eff(%): 28.716 | loglstar:   -inf < -186.531 <    inf | logz: -192.656 +/-  0.023 | dlogz: 192.283 >  0.100]
4549it [00:19, 193.61it/s, bound: 0 | nc: 2 | ncall: 15801 | eff(%): 28.789 | loglstar:   -inf < -185.527 <    inf | logz: -191.803 +/-  0.023 | dlogz: 191.433 >  0.100]
4578it [00:20, 189.58it/s, bound: 0 | nc: 2 | ncall: 15852 | eff(%): 28.880 | loglstar:   -inf < -184.701 <    inf | logz: -190.833 +/-  0.023 | dlogz: 190.456 >  0.100]
4613it [00:20, 198.82it/s, bound: 0 | nc: 5 | ncall: 15905 | eff(%): 29.003 | loglstar:   -inf < -183.423 <    inf | logz: -189.695 +/-  0.023 | dlogz: 189.318 >  0.100]
4646it [00:20, 196.79it/s, bound: 0 | nc: 3 | ncall: 15953 | eff(%): 29.123 | loglstar:   -inf < -182.203 <    inf | logz: -188.518 +/-  0.023 | dlogz: 188.140 >  0.100]
4681it [00:20, 199.29it/s, bound: 0 | nc: 1 | ncall: 16001 | eff(%): 29.254 | loglstar:   -inf < -181.349 <    inf | logz: -187.466 +/-  0.023 | dlogz: 187.078 >  0.100]
4714it [00:20, 206.15it/s, bound: 0 | nc: 2 | ncall: 16051 | eff(%): 29.369 | loglstar:   -inf < -180.337 <    inf | logz: -186.518 +/-  0.023 | dlogz: 186.126 >  0.100]
4747it [00:20, 208.46it/s, bound: 0 | nc: 1 | ncall: 16101 | eff(%): 29.483 | loglstar:   -inf < -179.428 <    inf | logz: -185.572 +/-  0.023 | dlogz: 185.177 >  0.100]
4775it [00:21, 191.05it/s, bound: 0 | nc: 6 | ncall: 16153 | eff(%): 29.561 | loglstar:   -inf < -178.613 <    inf | logz: -184.783 +/-  0.023 | dlogz: 184.386 >  0.100]
4804it [00:21, 188.54it/s, bound: 0 | nc: 1 | ncall: 16201 | eff(%): 29.652 | loglstar:   -inf < -177.757 <    inf | logz: -183.919 +/-  0.023 | dlogz: 183.519 >  0.100]
4836it [00:21, 191.17it/s, bound: 0 | nc: 1 | ncall: 16251 | eff(%): 29.758 | loglstar:   -inf < -176.890 <    inf | logz: -182.986 +/-  0.023 | dlogz: 182.581 >  0.100]
4870it [00:21, 196.69it/s, bound: 0 | nc: 2 | ncall: 16301 | eff(%): 29.875 | loglstar:   -inf < -176.139 <    inf | logz: -182.143 +/-  0.022 | dlogz: 181.731 >  0.100]
4902it [00:21, 196.65it/s, bound: 0 | nc: 1 | ncall: 16351 | eff(%): 29.980 | loglstar:   -inf < -175.248 <    inf | logz: -181.274 +/-  0.023 | dlogz: 180.861 >  0.100]
4931it [00:21, 182.58it/s, bound: 0 | nc: 2 | ncall: 16401 | eff(%): 30.065 | loglstar:   -inf < -174.568 <    inf | logz: -180.530 +/-  0.022 | dlogz: 180.111 >  0.100]
4962it [00:22, 181.73it/s, bound: 0 | nc: 4 | ncall: 16453 | eff(%): 30.159 | loglstar:   -inf < -173.770 <    inf | logz: -179.828 +/-  0.022 | dlogz: 179.408 >  0.100]
4982it [00:22, 174.58it/s, bound: 0 | nc: 1 | ncall: 16501 | eff(%): 30.192 | loglstar:   -inf < -173.385 <    inf | logz: -179.358 +/-  0.022 | dlogz: 178.935 >  0.100]
5010it [00:22, 181.86it/s, bound: 0 | nc: 3 | ncall: 16553 | eff(%): 30.266 | loglstar:   -inf < -172.933 <    inf | logz: -178.758 +/-  0.022 | dlogz: 178.328 >  0.100]
5038it [00:22, 170.53it/s, bound: 0 | nc: 1 | ncall: 16601 | eff(%): 30.348 | loglstar:   -inf < -172.476 <    inf | logz: -178.204 +/-  0.022 | dlogz: 177.770 >  0.100]
5070it [00:22, 176.53it/s, bound: 0 | nc: 2 | ncall: 16652 | eff(%): 30.447 | loglstar:   -inf < -171.536 <    inf | logz: -177.541 +/-  0.022 | dlogz: 177.109 >  0.100]
